ID,age,year_sampling,year_of_birth,sex,HA,hapto,initial_lysis,pre-scan_absorbance,assay_batch_HAHL,assay_batch_hapto,storage_time_HAHL,storage_time_hapto
347,9,2009,2000,1,7.0,,1.0,,2017.0,,8.0,
347,12,2012,2000,1,12.0,,5.0,,2017.0,,5.0,
347,13,2013,2000,1,12.0,,1.0,,2017.0,,4.0,
347,14,2014,2000,1,12.0,,2.0,,2017.0,,3.0,
348,11,2008,1997,1,10.0,,2.0,,2017.0,,9.0,
348,12,2009,1997,1,12.0,,4.0,,2017.0,,8.0,
349,3,2011,2008,1,12.0,,4.0,,2017.0,,6.0,
349,5,2013,2008,1,8.0,,1.0,,2017.0,,4.0,
350,4,2017,2013,2,13.0,0.081382,1.0,0.145,2020.0,2020.0,3.0,3.0
351,3,2011,2008,2,16.0,0.532497,4.0,0.141,2017.0,2018.0,6.0,7.0
351,8,2016,2008,2,8.0,0.004876,1.0,0.107,2017.0,2018.0,1.0,2.0
351,9,2017,2008,2,12.0,0.0,3.0,0.357,2017.0,2018.0,0.0,1.0
351,10,2018,2008,2,10.0,0.63003,4.0,0.2,2018.0,2018.0,0.0,0.0
351,11,2019,2008,2,11.0,0.238423,1.0,0.158,2020.0,2020.0,1.0,1.0
352,6,2017,2011,1,13.0,0.448865,4.0,0.219,2018.0,2018.0,1.0,1.0
352,7,2018,2011,1,14.0,3.552008,6.0,0.627,2018.0,2018.0,0.0,0.0
352,8,2019,2011,1,11.0,0.445118,1.0,0.33,2020.0,2020.0,1.0,1.0
353,13,2008,1995,1,9.0,,3.0,,2017.0,,9.0,
353,14,2009,1995,1,12.0,,2.0,,2017.0,,8.0,
353,16,2011,1995,1,21.0,,6.0,,2017.0,,6.0,
353,18,2013,1995,1,14.0,,6.0,,2017.0,,4.0,
354,5,2018,2013,2,4.0,0.406873,1.0,0.109,2020.0,2018.0,2.0,0.0
354,6,2019,2013,2,11.0,0.346607,2.0,0.113,2020.0,2020.0,1.0,1.0
