id,year_of_sampling,capture_date,sex,age,mass,year_of_birth,ALO,lymphocyte_count,neutrophil_count,monocyte_count,eosinophil_count,leukocyte_concentration,included_in_survival_analysis,log_leukocyte_concentration
8,2013,171,f,8,3180,2005,9,64.0,34.0,1.0,1.0,15402000.0,yes,16.550007929081332
8,2014,157,f,9,3475,2005,9,22.0,71.0,4.0,3.0,22213333.9217857,yes,16.916203293645705
9,2011,120,m,6,3250,2005,10,9.0,88.0,1.0,2.0,,yes,
9,2012,138,m,7,3350,2005,10,27.0,69.0,3.0,1.0,,yes,
9,2013,141,m,8,3050,2005,10,15.0,84.0,0.0,0.0,8160000.0,yes,15.91475472694029
9,2014,137,m,9,3525,2005,10,21.0,67.0,6.0,6.0,12138000.0,yes,16.311851585377937
9,2015,140,m,10,3750,2005,10,44.0,42.0,6.0,8.0,22440000.594457,yes,16.926355665109725
10,2011,129,m,6,3300,2005,10,11.0,86.0,3.0,0.0,,yes,
10,2012,158,m,7,3500,2005,10,52.0,32.0,9.0,7.0,,yes,
10,2013,160,m,8,3250,2005,10,24.0,76.0,0.0,0.0,11220000.0,yes,16.233208458058826
10,2015,142,m,10,3500,2005,10,35.0,61.0,3.0,1.0,23233333.9488065,yes,16.961098613553595
11,2011,124,f,6,3450,2005,7,17.0,79.0,1.0,3.0,,yes,
11,2012,137,f,7,3025,2005,7,20.0,77.0,3.0,0.0,,yes,
12,2011,120,f,6,4000,2005,10,33.0,63.0,1.0,2.0,,yes,
12,2012,137,f,7,3400,2005,10,18.0,75.0,3.0,3.0,,yes,
12,2013,149,f,8,3510,2005,10,21.0,72.0,6.0,1.0,20502000.0,yes,16.836033000325482
12,2014,137,f,9,3500,2005,10,20.0,76.0,2.0,2.0,23970000.0,yes,16.992313606410566
12,2015,158,f,10,4125,2005,10,31.0,63.0,1.0,5.0,24071998.8566414,yes,16.99655984979457
13,2011,117,f,5,3950,2006,9,17.0,80.0,1.0,2.0,,yes,
13,2012,139,f,6,3175,2006,9,20.0,66.0,6.0,7.0,,yes,
13,2013,148,f,7,3520,2006,9,56.0,40.0,2.0,2.0,15708000.0,yes,16.569680694680038
13,2014,138,f,8,3525,2006,9,18.0,80.0,1.0,1.0,26112000.0,yes,17.07790553674597
13,2015,141,f,9,3625,2006,9,42.0,56.0,1.0,1.0,26520000.7025401,yes,17.09340974977289
14,2011,125,f,4,3400,2007,8,71.0,26.0,3.0,0.0,,yes,
14,2012,156,f,5,3100,2007,8,20.0,72.0,6.0,0.0,,yes,
14,2013,149,f,6,3320,2007,8,64.0,31.0,0.0,5.0,31110000.0,yes,17.25303986887382
14,2014,138,f,7,3650,2007,8,32.0,62.0,4.0,2.0,13872000.0,yes,16.44538297800246
14,2015,169,f,8,3900,2007,8,49.0,46.0,1.0,4.0,23765998.8711756,yes,16.983766498334656
15,2011,121,f,4,4150,2007,5,53.0,39.0,5.0,3.0,,yes,
15,2012,188,f,5,3900,2007,5,11.0,87.0,2.0,0.0,,yes,
16,2011,119,m,4,4000,2007,5,15.0,79.0,4.0,2.0,,yes,
16,2012,137,m,5,3550,2007,5,12.0,82.0,6.0,0.0,,yes,
17,2011,152,m,4,3500,2007,8,36.0,52.0,4.0,8.0,,yes,
17,2012,158,m,5,3450,2007,8,18.0,75.0,3.0,4.0,,yes,
17,2013,150,m,6,3450,2007,8,44.0,52.0,1.0,3.0,,yes,
17,2014,149,m,7,4050,2007,8,25.0,65.0,4.0,6.0,25908000.0,yes,17.070062359284943
17,2015,167,m,8,3775,2007,8,30.0,64.0,3.0,3.0,19532999.0722323,yes,16.787615853389656
18,2011,116,m,4,3500,2007,8,57.0,38.0,4.0,0.0,,yes,
18,2012,139,m,5,3500,2007,8,48.0,45.0,5.0,2.0,,yes,
18,2013,157,m,6,4160,2007,8,35.0,64.0,0.0,1.0,17748000.0,yes,16.691783391480936
18,2014,140,m,7,3975,2007,8,24.0,71.0,4.0,1.0,18258000.0,yes,16.72011389810716
18,2015,136,m,8,3975,2007,8,27.0,68.0,2.0,3.0,27488998.6943426,yes,17.129296435118007
19,2011,127,m,4,3700,2007,8,35.0,56.0,4.0,5.0,,yes,
