ID,Age_class,site,First_captured,Year_birth,Cohort_birth,sex,cohort_sexual_maturity,AFR,Last_captured,lifespan,weaned_juv,age,nb_juv,season
I084,J,MV4,15/09/2013,2013,Summer,M,Early sexual maturity,7,25/06/2015,22.0,1,22,1,Pre-mast
I085,J,MV4,16/09/2013,2013,Summer,M,Early sexual maturity,7,04/06/2015,21.0,1,7,1,Post-mast
I085,J,MV4,16/09/2013,2013,Summer,M,Early sexual maturity,7,04/06/2015,21.0,0,22,0,Pre-mast
J004,A,MV1,15/05/2014,2013,Summer ,F,Early sexual maturity,7,20/06/2018,57.0,1,7,2,Post-mast
J004,A,MV1,15/05/2014,2013,Summer ,F,Early sexual maturity,7,20/06/2018,57.0,1,22,1,Pre-mast
J004,A,MV1,15/05/2014,2013,Summer ,F,Early sexual maturity,7,20/06/2018,57.0,1,30,1,Post-mast
J004,A,MV1,15/05/2014,2013,Summer ,F,Early sexual maturity,7,20/06/2018,57.0,1,45,1,Pre-mast
J004,A,MV1,15/05/2014,2013,Summer ,F,Early sexual maturity,7,20/06/2018,57.0,0,52,0,Post-mast
J006,A,MV4,16/05/2014,2013,Summer ,F,Early sexual maturity,7,14/06/2016,33.0,1,7,2,Post-mast
J006,A,MV4,16/05/2014,2013,Summer ,F,Early sexual maturity,7,14/06/2016,33.0,1,22,2,Pre-mast
J006,A,MV4,16/05/2014,2013,Summer ,F,Early sexual maturity,7,14/06/2016,33.0,1,30,2,Post-mast
J007,A,MV1,18/05/2014,2013,Summer ,F,Late sexual maturity,22,10/08/2017,47.0,0,7,0,Post-mast
J007,A,MV1,18/05/2014,2013,Summer ,F,Late sexual maturity,22,10/08/2017,47.0,1,22,3,Pre-mast
J007,A,MV1,18/05/2014,2013,Summer ,F,Late sexual maturity,22,10/08/2017,47.0,1,30,1,Post-mast
J007,A,MV1,18/05/2014,2013,Summer ,F,Late sexual maturity,22,10/08/2017,47.0,0,45,0,Pre-mast
J008,A,MV4,19/05/2014,2013,Summer ,F,Late sexual maturity,22,20/05/2016,32.0,0,7,0,Post-mast
J008,A,MV4,19/05/2014,2013,Summer ,F,Late sexual maturity,22,20/05/2016,32.0,1,22,5,Pre-mast
J008,A,MV4,19/05/2014,2013,Summer ,F,Late sexual maturity,22,20/05/2016,32.0,1,30,3,Post-mast
J009,A,MV1,20/05/2014,2013,Summer ,F,Early sexual maturity,7,09/07/2014,9.0,1,7,2,Post-mast
J011,A,MV1,21/05/2014,2013,Summer ,M,Early sexual maturity,7,13/07/2016,34.0,1,7,1,Post-mast
J011,A,MV1,21/05/2014,2013,Summer ,M,Early sexual maturity,7,13/07/2016,34.0,1,22,3,Pre-mast
J011,A,MV1,21/05/2014,2013,Summer ,M,Early sexual maturity,7,13/07/2016,34.0,1,30,2,Post-mast
J013,A,MV4,21/05/2014,2013,Summer ,M,Early sexual maturity,7,04/09/2017,48.0,1,7,1,Post-mast
J013,A,MV4,21/05/2014,2013,Summer ,M,Early sexual maturity,7,04/09/2017,48.0,1,22,1,Pre-mast
J013,A,MV4,21/05/2014,2013,Summer ,M,Early sexual maturity,7,04/09/2017,48.0,1,30,4,Post-mast
J013,A,MV4,21/05/2014,2013,Summer ,M,Early sexual maturity,7,04/09/2017,48.0,0,45,0,Pre-mast
J014,A,MV4,22/05/2014,2013,Summer ,M,Early sexual maturity,7,05/09/2015,24.0,0,7,0,Post-mast
J014,A,MV4,22/05/2014,2013,Summer ,M,Early sexual maturity,7,05/09/2015,24.0,1,22,1,Pre-mast
J017,J,MV1,22/05/2014,2014,Spring,F,Intermediate sexual maturity,15,21/08/2017,40.0,1,15,4,Pre-mast
