Obs_num,Rep,F1_ID,F0_ID,Paternal_age,Paternal_sperm_age,Treatment,Sex,F1_Age,F2_Count,LS,Censored,Mean_age,Delta_age,ALR,Mean_age2,Age2
511,R2,D3.R2.YY.19,R2.YY.19,Y,Y,YY,Female,4,63,29,1,11,-7,18,121,16
1465,R2,D3.R2.YY.19,R2.YY.19,Y,Y,YY,Female,18,44,29,1,11,7,18,121,324
631,R2,D1.R2.YO.16,R2.YO.16,Y,O,YO,Female,4,0,30,1,11,-7,18,121,16
1543,R2,D1.R2.YO.16,R2.YO.16,Y,O,YO,Female,18,55,30,1,11,7,18,121,324
692,R2,D3.R2.OY.15,R2.OY.15,O,Y,OY,Female,4,93,30,1,11,-7,18,121,16
1468,R2,D3.R2.OY.15,R2.OY.15,O,Y,OY,Female,18,90,30,1,11,7,18,121,324
166,R1,D1.R1.OY.78,R1.OY.78,O,Y,OY,Female,4,100,31,1,11,-7,18,121,16
989,R1,D1.R1.OY.78,R1.OY.78,O,Y,OY,Female,18,0,31,1,11,7,18,121,324
26,R1,D1.R1.YY.19,R1.YY.19,Y,Y,YY,Female,4,54,31,1,11,-7,18,121,16
1075,R1,D1.R1.YY.19,R1.YY.19,Y,Y,YY,Female,18,51,31,1,11,7,18,121,324
196,R1,D1.R1.YY.37,R1.YY.37,Y,Y,YY,Female,4,60,31,1,11,-7,18,121,16
985,R1,D1.R1.YY.37,R1.YY.37,Y,Y,YY,Female,18,15,31,1,11,7,18,121,324
3441,R4,D1.R4.OO.4,R4.OO.4,O,O,OO,Female,4,80,31,1,11,-7,18,121,16
3898,R4,D1.R4.OO.4,R4.OO.4,O,O,OO,Female,18,37,31,1,11,7,18,121,324
210,R1,D2.R1.YY.33,R1.YY.33,Y,Y,YY,Female,4,88,31,1,18,-14,32,324,16
1030,R1,D2.R1.YY.33,R1.YY.33,Y,Y,YY,Female,18,38,31,1,18,0,32,324,324
1773,R1,D2.R1.YY.33,R1.YY.33,Y,Y,YY,Female,32,0,31,1,18,14,32,324,1024
3388,R4,D2.R4.OO.14,R4.OO.14,O,O,OO,Female,4,86,31,1,11,-7,18,121,16
3883,R4,D2.R4.OO.14,R4.OO.14,O,O,OO,Female,18,0,31,1,11,7,18,121,324
3379,R4,D2.R4.OO.19,R4.OO.19,O,O,OO,Female,4,59,31,1,11,-7,18,121,16
3822,R4,D2.R4.OO.19,R4.OO.19,O,O,OO,Female,18,46,31,1,11,7,18,121,324
3477,R4,D2.R4.YY.19,R4.YY.19,Y,Y,YY,Female,4,63,31,1,11,-7,18,121,16
3855,R4,D2.R4.YY.19,R4.YY.19,Y,Y,YY,Female,18,38,31,1,11,7,18,121,324
189,R1,D3.R1.OO.39,R1.OO.39,O,O,OO,Female,4,69,31,1,11,-7,18,121,16
1108,R1,D3.R1.OO.39,R1.OO.39,O,O,OO,Female,18,0,31,1,11,7,18,121,324
163,R1,D3.R1.OY.20,R1.OY.20,O,Y,OY,Female,4,60,31,1,11,-7,18,121,16
1115,R1,D3.R1.OY.20,R1.OY.20,O,Y,OY,Female,18,0,31,1,11,7,18,121,324
112,R1,D3.R1.OY.37,R1.OY.37,O,Y,OY,Female,4,96,31,1,11,-7,18,121,16
982,R1,D3.R1.OY.37,R1.OY.37,O,Y,OY,Female,18,40,31,1,11,7,18,121,324
44,R1,D3.R1.OY.71,R1.OY.71,O,Y,OY,Female,4,65,31,1,11,-7,18,121,16
1056,R1,D3.R1.OY.71,R1.OY.71,O,Y,OY,Female,18,66,31,1,11,7,18,121,324
158,R1,D3.R1.YO.2,R1.YO.2,Y,O,YO,Female,4,83,31,1,11,-7,18,121,16
1017,R1,D3.R1.YO.2,R1.YO.2,Y,O,YO,Female,18,0,31,1,11,7,18,121,324
3438,R4,D3.R4.YO.9,R4.YO.9,Y,O,YO,Female,4,53,31,1,11,-7,18,121,16
3842,R4,D3.R4.YO.9,R4.YO.9,Y,O,YO,Female,18,35,31,1,11,7,18,121,324
